OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST,index_right,FID,SBZ,Name
255756,14230829148220599320,14,7,13,000,2023,08,14,3,3,3,2,0,0,1,1,0,0,0,0,"734765,561400000005960","5691306,488900000229478",12.36966989800004,51.32452376500004,1,4,4,4,Süd
255757,14230829148210586530,14,7,13,000,2023,08,07,3,3,1,5,0,1,1,1,0,0,0,0,"735580,254599999636412","5689313,285000000149012",12.380025149000062,51.30629532900008,1,4,4,4,Süd
255758,14230829148110586500,14,7,13,000,2023,08,04,3,3,5,3,2,1,1,1,0,0,0,0,"734004,756699999794364","5695593,313500000163913",12.361587146000033,51.36331783800006,1,9,9,9,Nord
255759,14230829144200599760,14,7,13,000,2023,08,09,3,3,5,3,0,1,1,0,0,0,0,1,"734504,787399999797344","5690903,821399999782443",12.365668996000068,51.321016772000064,1,4,4,4,Süd
255772,14230828662213586640,14,7,13,000,2023,08,12,2,3,0,1,0,0,1,0,0,0,0,0,"734753,238900000229478","5693832,210599999874830",12.371157698000047,51.34720077000003,1,0,0,0,Mitte
255787,14230827148310638390,14,7,13,000,2023,08,13,1,3,0,7,0,0,0,0,0,0,0,1,"731711,911600000225008","5692790,489600000903010",12.32688465900003,51.33909722300007,1,7,7,7,Alt-West
255802,14230826144200585040,14,7,13,000,2023,08,15,7,3,6,6,0,0,0,0,1,0,0,1,"735132,255099999718368","5693032,113500000908971",12.376062084000068,51.33986218700005,1,0,0,0,Mitte
255821,14230920148210689100,14,7,13,000,2023,09,14,4,3,0,7,0,0,0,1,0,0,0,0,"738827,390899999998510","5687151,230900000780821",12.425079122000056,51.285535981000066,1,3,3,3,Südost
255823,14230825148310637950,14,7,13,000,2023,08,23,6,2,0,1,2,1,1,0,0,0,0,0,"728370,905600000172853","5695073,764599999412894",12.280464911000024,51.36094626900007,1,7,7,7,Alt-West
255824,14230825148310586070,14,7,13,000,2023,08,09,6,3,2,6,0,0,0,1,0,0,0,0,"729694,762000000104308","5684261,048000000417233",12.292485743000043,51.263345506000064,1,5,5,5,Südwest
255826,14230825148110643450,14,7,13,000,2023,08,17,6,3,5,3,0,0,1,1,0,0,0,0,"735599,521700000390410","5697103,289899999275804",12.385454433000064,51.37621268600003,1,9,9,9,Nord
255827,14230825148110586040,14,7,13,000,2023,08,11,6,3,5,7,0,0,0,1,0,0,0,0,"737934,929800000041723","5697170,314600000157952",12.418994161000057,51.37584066800008,1,1,1,1,Nordost
255828,14230825144200608590,14,7,13,000,2023,08,16,6,3,6,4,0,0,0,1,1,0,0,0,"731861,474000000394881","5696451,785099999979138",12.331413792000035,51.371902798000065,1,8,8,8,Nordwest
