OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
225077,14200128148110175820,14,7,13,000,2020,01,07,3,3,5,3,0,1,1,0,0,0,0,"736571,263000000270000","5697169,605799999100000",12.399435696000069,51.37640398800005,1,1,1,1,Nordost
225078,14200124148110169440,14,7,13,000,2020,01,08,6,3,0,1,0,1,0,0,0,0,0,"735969,195700000040000","5695633,484899999600000",12.389781059000029,51.36286597800006,0,9,9,9,Nord
225080,14200128144200232970,14,7,13,000,2020,01,16,3,3,2,6,0,0,1,0,0,0,0,"739950,583999999800000","5701288,922299999700000",12.450685136000061,51.41195956100006,0,9,9,9,Nord
225081,14200128144200175700,14,7,13,000,2020,01,06,3,2,5,2,1,0,1,0,0,0,0,"734977,558000000190000","5696036,123999999800000",12.375828458000058,51.36689116400004,1,9,9,9,Nord
225085,14200124144200185300,14,7,13,000,2020,01,09,6,3,6,4,0,0,0,1,0,0,1,"733237,549700000320000","5695840,518699999900000",12.35074824700007,51.36585235100006,0,8,8,8,Nordwest
225107,14200127662223187420,14,7,13,000,2020,01,11,2,3,0,7,0,1,1,0,0,0,0,"734778,503700000230000","5692836,554700000200000",12.370863414000041,51.33825293700005,0,0,0,0,Mitte
225108,14200211144100465990,14,7,13,000,2020,02,19,3,3,5,3,2,1,1,0,0,0,0,"734176,805700000380000","5692173,782999999800000",12.361804788000029,51.33255166600003,0,0,0,0,Mitte
225114,14200127148410254190,14,7,13,000,2020,01,18,2,3,5,3,2,1,1,0,0,0,0,"734556,856999999840000","5691371,611400000800000",12.366722697000057,51.32519441300008,1,4,4,4,Süd
225116,14200127148323179860,14,7,13,000,2020,01,09,2,3,5,3,0,1,1,0,0,0,0,"732718,107400000100000","5691270,198100000600000",12.340312249000021,51.325039153000034,0,5,5,5,Südwest
225117,14200127148321179850,14,7,13,000,2020,01,12,2,3,1,7,0,1,0,0,0,0,1,"731752,533699999560000","5692328,651200000200000",12.327166385000055,51.33493483600006,0,7,7,7,Alt-West
225118,14200213148310224320,14,7,13,000,2020,02,16,5,3,5,2,0,1,1,0,0,0,0,"732391,499900000170000","5691544,363299999400000",12.335811582000076,51.32763376500003,1,5,5,5,Südwest
225119,14200127148110172270,14,7,13,000,2020,01,07,2,3,5,2,1,1,1,0,0,0,0,"731814,913999999870000","5696475,502299999800000",12.330761491000032,51.372134705000065,0,8,8,8,Nordwest
225120,14200127144200182530,14,7,13,000,2020,01,13,2,3,2,6,0,0,1,0,0,0,0,"738464,247899999840000","5699698,480699999300000",12.428282822000028,51.398310982000055,0,1,1,1,Nordost
225123,14200127144200179570,14,7,13,000,2020,01,11,2,2,6,4,0,0,1,1,0,0,0,"730277,257699999960000","5691373,000600000800000",12.305406916000038,51.32695519500004,0,6,6,6,West
225125,14200127144200175750,14,7,13,000,2020,01,18,2,3,6,4,2,1,0,1,0,0,0,"735422,738300000320000","5692977,775100000200000",12.38018917900007,51.33925424100005,1,0,0,0,Mitte
225127,14200212144200225020,14,7,13,000,2020,02,15,4,3,2,2,0,0,1,0,0,0,0,"731780,620900000450000","5689684,031500000500000",12.325849515000073,51.31118308100008,0,5,5,5,Südwest
225128,14200127144200175710,14,7,13,000,2020,01,10,2,1,6,2,0,0,0,1,0,1,0,"731977,569699999880000","5688515,163599999600000",12.327910619000022,51.30061010600008,0,5,5,5,Südwest
225130,14200123148110165740,14,7,13,000,2020,01,14,5,3,2,6,0,0,1,0,1,0,0,"735763,404699999840000","5694505,478599999100000",12.38608289900003,51.35282616300003,0,9,9,9,Nord
225132,14200306149410288890,14,7,13,000,2020,03,08,6,3,3,5,0,1,0,0,0,0,1,"738078,184700000100000","5693726,585100000700000",12.418744098000047,51.34487001400004,0,2,2,2,Ost
225133,14200303144200265370,14,7,13,000,2020,03,06,3,2,2,6,1,0,1,0,1,0,0,"732212,597500000150000","5694011,357699999600000",12.334856568000077,51.34985239000008,1,7,7,7,Alt-West
225142,14200221148421320550,14,7,13,000,2020,02,09,6,3,6,7,0,0,1,1,0,0,0,"736428,361200000160000","5692369,333799999200000",12.394196918000034,51.33337554900004,0,3,3,3,Südost
225146,14200227148410260710,14,7,13,000,2020,02,10,5,3,2,6,0,0,1,0,0,0,0,"734800,403199999590000","5692995,104399999600000",12.371281772000032,51.33966710000004,0,0,0,0,Mitte
225150,14200305148210320510,14,7,13,000,2020,03,07,5,3,4,2,0,1,1,0,0,0,0,"736731,267900000330000","5688797,423699999200000",12.396166274000052,51.30118741200005,0,4,4,4,Süd
225155,14200302148210259580,14,7,13,000,2020,03,07,2,3,1,5,0,1,1,0,0,0,0,"735069,636699999680000","5690481,889299999900000",12.373482643000045,51.316996276000054,1,4,4,4,Süd
225160,14200307148310293050,14,7,13,000,2020,03,12,7,3,3,7,0,0,1,0,0,0,0,"731069,804399999790000","5692085,437500000000000",12.317224674000045,51.33302932300006,0,7,7,7,Alt-West
225167,14200220148410254230,14,7,13,000,2020,02,22,5,3,5,3,2,1,1,0,0,0,0,"736383,859000000170000","5695701,117799999200000",12.395771566000064,51.363300699000035,0,9,9,9,Nord
225168,14200220144200235140,14,7,13,000,2020,02,15,5,3,2,6,0,0,1,0,0,0,0,"734788,174599999560000","5692725,696200000100000",12.370928938000077,51.337253833000034,0,0,0,0,Mitte
