OID_,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstige,ULICHTVERH,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLAE,IstStrassenzustand,index_right,FID,SBZ,Name
227813,14,7,13,000,2021,10,16,3,3,6,4,1,0,1,0,0,0,0,"737261,951365243643522","5694399,804140042513609",12.407494153000073,51.35125407100003,14211026144200813370,0,1,1,1,Nordost
227815,14,7,13,000,2021,10,20,7,3,0,6,0,1,0,0,1,2,0,"739936,244503921829164","5694074,834163863211870",12.445608461000063,51.34721471800003,14211002144200767090,0,2,2,2,Ost
227820,14,7,13,000,2021,11,07,6,3,5,2,1,1,0,0,0,0,0,"734505,681969936937094","5690905,302905367687345",12.365682786000036,51.32102970200003,14211105144200903750,1,4,4,4,Süd
227821,14,7,13,000,2021,11,15,7,3,3,6,0,1,0,0,0,0,0,"739928,820092614740133","5694038,326324632391334",12.44547744700003,51.34689016900006,14211113148210923480,0,2,2,2,Ost
227822,14,7,13,000,2021,10,17,3,3,5,3,1,0,0,0,0,0,0,"735174,222001497633755","5693485,316985810175538",12.37696280700004,51.34391294200003,14211012144200782660,1,0,0,0,Mitte
227824,14,7,13,000,2021,12,18,4,3,5,3,0,1,0,0,1,2,0,"735761,657509943470359","5693474,562755133956671",12.385375124000063,51.34357312900005,14211229148410993370,1,0,0,0,Mitte
227826,14,7,13,000,2021,10,15,1,3,0,6,1,0,0,0,0,0,0,"734846,889041917398572","5687310,932569406926632",12.36820553800004,51.28862422900005,14211031148210825450,0,4,4,4,Süd
227833,14,7,13,000,2021,10,10,2,3,6,2,0,1,1,0,0,0,0,"737252,081679063849151","5692227,947290839627385",12.405905827000026,51.33176345800007,14211011148410769160,0,3,3,3,Südost
227837,14,7,13,000,2021,10,19,6,3,6,4,0,1,1,0,0,2,0,"738968,614791010506451","5697664,050418959930539",12.434151042000053,51.379838318000054,14211029148110846320,0,1,1,1,Nordost
227840,14,7,13,000,2021,10,17,6,3,0,1,1,0,0,0,0,1,0,"736535,350702435709536","5693006,143766677007079",12.396152799000049,51.33904718400004,14211015148410782770,1,3,3,3,Südost
227844,14,7,13,000,2021,10,10,5,3,5,2,1,1,0,0,0,0,0,"738646,235832757316530","5695290,909286830574274",12.427934377000042,51.35867301300004,14211007144200770820,0,1,1,1,Nordost
227847,14,7,13,000,2021,10,11,4,3,5,3,0,1,0,0,0,0,0,"730511,147720522247255","5689715,063681604340672",12.307686404000037,51.31197716400004,14211027144200813760,0,6,6,6,West
227850,14,7,13,000,2021,11,17,3,3,5,2,1,1,0,0,0,1,0,"735782,792018665000796","5693130,580760862678289",12.385450290000051,51.34047669200004,14211123144200902710,1,0,0,0,Mitte
227852,14,7,13,000,2021,11,18,4,3,5,2,1,1,0,0,0,2,0,"735015,909123619087040","5692057,481364833191037",12.373751737000077,51.33116161600003,14211110144200854860,0,0,0,0,Mitte
227856,14,7,13,000,2021,10,20,7,3,5,3,1,1,0,0,0,2,0,"734403,034747867844999","5692969,944913299754262",12.365570344000048,51.339605196000036,14211030148410824780,0,0,0,0,Mitte
227862,14,7,13,000,2021,11,07,6,3,1,5,0,1,0,0,1,0,0,"737187,362798077985644","5693870,062558162957430",12.406072007000034,51.34653020800005,14211105148410846860,1,2,2,2,Ost
227868,14,7,13,000,2021,10,19,6,3,3,2,1,1,0,0,0,2,0,"734121,633982640691102","5696550,466120552271605",12.363893211000061,51.37186150000008,14211022662211880270,1,9,9,9,Nord
227874,14,7,13,000,2021,11,10,2,3,5,2,0,1,0,0,0,0,0,"738792,539295672439039","5696083,766788348555565",12.430564094000033,51.365728096000055,14211108148110848080,0,1,1,1,Nordost
227878,14,7,13,000,2021,12,12,4,3,5,3,0,1,0,0,0,0,0,"740466,726775201968849","5693910,771893091499805",12.453100816000074,51.34551802400006,14211229144200993620,1,2,2,2,Ost
227882,14,7,13,000,2021,09,08,5,3,1,5,1,1,0,0,0,0,0,"736726,948749715462327","5689340,342936309054494",12.396464525000056,51.30606257100004,14210930148210737680,0,4,4,4,Süd
