FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name
122576,122577,14,7,13,000,2016,02,07,4,3,1,6,0,0,0,1,0,0,0,1,"731261,926499999940000","5697777,944400000400000",12.323677988,51.384051864,8,8,8,Nordwest
122577,122578,14,7,13,000,2016,02,12,1,3,5,3,0,0,1,1,0,0,0,0,"738443,630200000010000","5690932,240100000100000",12.422111877,51.31963503,3,3,3,Südost
122579,122580,14,7,13,000,2016,02,12,6,3,5,3,0,0,0,1,1,0,0,0,"737396,176600000010000","5693458,146499999800000",12.408790305,51.342745677,2,2,2,Ost
122580,122581,14,7,13,000,2016,02,14,4,2,6,2,0,0,0,1,1,0,0,0,"735535,373200000030000","5692910,080900000400000",12.381758598,51.338599956,0,0,0,Mitte
122581,122582,14,7,13,000,2016,02,11,1,3,5,3,0,1,0,1,0,0,0,0,"736566,178900000060000","5688359,235299999800000",12.39351199,51.297322731,4,4,4,Süd
122583,122584,14,7,13,000,2016,02,09,5,3,5,3,0,0,1,1,0,0,0,0,"734605,089999999970000","5692453,630199999500000",12.368126043,51.334887209,0,0,0,Mitte
122584,122585,14,7,13,000,2016,02,16,6,3,6,4,1,0,0,1,1,0,0,0,"736160,315799999980000","5687491,905799999800000",12.387127305,51.289705749,4,4,4,Süd
122586,122587,14,7,13,000,2016,02,18,2,2,6,4,2,1,0,1,1,0,0,0,"734192,348800000040000","5692899,169999999900000",12.362504365,51.339056694,0,0,0,Mitte
122590,122591,14,7,13,000,2016,02,19,1,3,5,2,2,1,0,1,0,0,0,0,"731924,864599999970000","5690560,131699999800000",12.328485221,51.318988932,5,5,5,Südwest
122593,122594,14,7,13,000,2016,02,12,5,3,6,4,0,0,0,0,1,0,0,1,"727684,204000000030000","5690648,945000000300000",12.267789045,51.321498811,6,6,6,West
122594,122595,14,7,13,000,2016,02,15,2,3,6,2,0,1,0,1,1,0,0,0,"734323,005400000020000","5695879,419999999900000",12.366338966,51.365754885,9,9,9,Nord
122597,122598,14,7,13,000,2016,02,14,6,3,6,3,0,0,0,1,1,0,0,0,"728535,646799999990000","5689944,243800000300000",12.279536128,51.314831186,6,6,6,West
122635,122636,14,7,13,000,2016,02,14,7,3,5,3,0,0,1,1,0,0,0,0,"739280,326000000000000","5689380,338999999700000",12.433055986,51.305354189,3,3,3,Südost
122644,122645,14,7,13,000,2016,02,11,7,3,5,3,0,0,0,1,0,0,0,0,"740915,692099999990000","5695193,312199999600000",12.460403411,51.356839463,2,2,2,Ost
122663,122664,14,7,13,000,2016,02,12,1,3,5,7,0,1,0,1,0,0,0,0,"732359,911500000050000","5690737,965499999900000",12.334833368,51.320407833,5,5,5,Südwest
122665,122666,14,7,13,000,2016,02,17,1,3,0,1,2,1,0,0,0,1,0,0,"735467,623299999980000","5691974,574199999700000",12.380169399,51.330230605,0,0,0,Mitte
122667,122668,14,7,13,000,2016,03,20,3,3,5,2,2,1,1,1,0,0,0,0,"734796,277000000000000","5691472,046000000100000",12.370218999,51.325997202,0,0,0,Mitte
122668,122669,14,7,13,000,2016,02,18,5,3,2,6,2,0,0,1,0,0,0,0,"734743,348400000020000","5690878,191300000100000",12.369069656,51.320688341,4,4,4,Süd
122673,122674,14,7,13,000,2016,03,17,3,3,2,6,0,0,0,1,0,0,0,0,"730898,879300000030000","5697448,259399999900000",12.318255449,51.381240108,8,8,8,Nordwest
122674,122675,14,7,13,000,2016,02,15,5,3,5,3,0,1,1,1,0,0,0,0,"736136,640499999980000","5693470,821899999900000",12.390747026,51.343383939,0,0,0,Mitte
122679,122680,14,7,13,000,2016,02,19,5,3,5,3,2,0,0,1,0,0,0,0,"732597,373200000030000","5691620,367100000400000",12.338810961,51.328231894,5,5,5,Südwest
122681,122682,14,7,13,000,2016,02,12,7,3,3,5,0,0,1,1,0,0,0,0,"734051,537299999970000","5693513,389800000000000",12.36089002,51.344628206,0,0,0,Mitte
122682,122683,14,7,13,000,2016,03,08,4,3,0,5,0,0,1,0,0,0,0,1,"734327,293900000050000","5692174,582899999800000",12.363961702,51.332496869,0,0,0,Mitte
122683,122684,14,7,13,000,2016,03,09,3,3,5,3,0,1,0,1,0,0,0,0,"737090,736400000050000","5696331,316399999900000",12.406327101,51.368662857,1,1,1,Nordost
122684,122685,14,7,13,000,2016,02,07,5,3,5,3,0,0,1,1,0,0,0,0,"736572,276199999960000","5697169,574199999700000",12.399450207,51.376403283,1,1,1,Nordost
122691,122692,14,7,13,000,2016,02,14,4,3,0,7,0,1,0,1,1,0,0,0,"731948,926400000000000","5696704,345499999800000",12.332832827,51.374134251,8,8,8,Nordwest
122692,122693,14,7,13,000,2016,02,07,5,3,1,5,0,0,1,0,0,0,0,1,"738787,853899999990000","5691078,558699999900000",12.427140636,51.320804036,3,3,3,Südost
122693,122694,14,7,13,000,2016,02,12,1,3,2,2,0,0,0,1,0,0,0,0,"734912,541800000010000","5690877,479600000200000",12.371492964,51.32061213,4,4,4,Süd
122694,122695,14,7,13,000,2016,02,22,7,3,8,6,2,1,0,1,0,0,0,0,"734889,951699999980000","5695316,611100000300000",12.374097035,51.360468805,9,9,9,Nord
122699,122700,14,7,13,000,2016,02,15,1,3,5,3,0,0,0,1,0,0,0,0,"737839,030000000030000","5695037,256500000100000",12.416192221,51.356734652,1,1,1,Nordost
122702,122703,14,7,13,000,2016,02,15,5,3,5,3,0,0,1,1,0,0,0,0,"734446,524699999950000","5693783,770899999900000",12.366729421,51.346892525,0,0,0,Mitte
122705,122706,14,7,13,000,2016,02,20,5,2,0,1,1,1,0,1,0,0,0,0,"734295,407000000010000","5690890,623999999800000",12.362660804,51.320984556,4,4,4,Süd
122707,122708,14,7,13,000,2016,02,10,1,3,5,2,0,0,1,1,0,0,0,0,"737273,446299999950000","5694407,476400000000000",12.407664041,51.35131814,1,1,1,Nordost
122708,122709,14,7,13,000,2016,02,23,7,3,5,3,2,1,0,1,0,0,0,0,"735883,537299999970000","5692598,234799999700000",12.386541588,51.335656435,0,0,0,Mitte
122710,122711,14,7,13,000,2016,03,09,4,3,6,2,0,1,0,1,1,0,0,0,"736544,977100000020000","5692656,463100000300000",12.396058551,51.335904387,3,3,3,Südost
122712,122713,14,7,13,000,2016,02,21,1,2,3,2,2,0,0,1,0,0,0,0,"733389,392100000060000","5697655,508999999600000",12.354117306,51.382082269,8,8,8,Nordwest
122719,122720,14,7,13,000,2016,02,13,6,3,3,6,0,0,0,1,0,0,0,0,"734637,543900000050000","5691475,131000000100000",12.367946834,51.326090381,0,0,0,Mitte
122722,122723,14,7,13,000,2016,02,19,6,3,6,2,2,0,0,1,1,0,0,0,"740194,573600000000000","5691728,261800000400000",12.447728824,51.326043549,2,2,2,Ost
122723,122724,14,7,13,000,2016,03,20,4,3,5,3,2,0,1,1,0,0,0,0,"735698,793799999980000","5687337,779699999800000",12.380418607,51.288513395,4,4,4,Süd
122725,122726,14,7,13,000,2016,02,05,7,3,5,3,2,2,1,0,0,0,0,1,"733512,552200000030000","5693194,844999999700000",12.352955759,51.341990396,0,0,0,Mitte
122727,122728,14,7,13,000,2016,02,08,3,3,3,2,0,0,1,1,0,0,0,0,"735665,620499999960000","5692503,919200000400000",12.383356461,51.33490017,0,0,0,Mitte
