OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
251046,14221124662211887260,14,7,13,000,2022,11,17,5,3,5,2,2,1,0,1,0,0,0,0,"733226,206785168033093","5693907,934942009858787",12.349318828,51.3485090390001,0,0,0,Mitte
251047,14221028144200776720,14,7,13,000,2022,10,08,6,3,5,3,0,0,0,1,0,0,0,1,"727245,116002144990489","5693205,945228080265224",12.263128952,51.344629551,7,7,7,Alt-West
251050,14221202148210892760,14,7,13,000,2022,12,18,6,3,2,6,2,1,0,1,0,0,0,0,"742237,506674748030491","5686192,122297559864819",12.4732385680001,51.275487878,3,3,3,Südost
251053,14221114148110983990,14,7,13,000,2022,11,22,2,3,5,3,2,0,1,1,0,0,0,0,"740592,730633842991665","5700202,380527799949050",12.4591648850001,51.401935323,1,1,1,Nordost
251056,14221123148210852430,14,7,13,000,2022,11,15,4,3,6,4,0,0,0,1,1,0,0,0,"738207,650668152957223","5691139,059800880029798",12.4188697720001,51.3215902700001,3,3,3,Südost
251061,14221130148410916810,14,7,13,000,2022,11,13,4,3,5,3,0,0,1,1,0,0,0,0,"734446,478214527014643","5692130,570384710095823",12.365640565,51.3320526800001,0,0,0,Mitte
251063,14221017148110764010,14,7,13,000,2022,10,18,2,3,3,2,2,0,0,1,0,0,0,1,"738314,578277223045006","5694852,616210189647973",12.4228860100001,51.354878125,1,1,1,Nordost
251068,14221214144200917160,14,7,13,000,2022,12,16,4,3,6,4,2,1,0,0,1,0,0,1,"737520,031400915002450","5697164,408851119689643",12.4130397230001,51.3759613300001,1,1,1,Nordost
251069,14221023144320944500,14,7,13,000,2022,10,16,1,2,6,7,0,0,1,0,1,0,0,0,"735772,286289485986345","5695751,661712850444019",12.387036031,51.364008502,9,9,9,Nord
251073,14221104148110822860,14,7,13,000,2022,11,14,6,3,6,6,0,0,0,1,1,0,0,0,"737697,996899064048193","5694880,619646339677274",12.414065728,51.3553876880001,1,1,1,Nordost
251078,14221028148310777040,14,7,13,000,2022,10,13,6,2,0,7,0,0,0,1,0,0,0,0,"727364,123526314040646","5693605,420519590377808",12.2650899770001,51.3481682020001,7,7,7,Alt-West
251079,14221220144200938330,14,7,13,000,2022,12,16,3,3,2,6,1,1,0,1,0,0,0,0,"735500,313501280033961","5692764,018229610286653",12.3811595940001,51.3373033730001,0,0,0,Mitte
