UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
50,44491,44492,14,7,13,000,2016,03,12,5,2,6,4,0,0,0,0,1,0,0,1,"735461,542000000020000","5693491,991999999600000",12.381085258,51.343853944,0,0.0,0,Mitte,,,,,,,,,,
51,44496,44497,14,7,13,000,2016,03,06,3,3,3,2,0,1,1,1,0,0,0,0,"732792,932099999980000","5696858,846099999700000",12.345039223,51.375175825,8,8.0,8,Nordwest,,,,,,,,,,
52,44539,44540,14,7,13,000,2016,03,14,7,3,2,6,0,0,0,1,0,0,0,0,"741618,029800000020000","5684884,169400000000000",12.463490147,51.264011111,3,3.0,3,Südost,,,,,,,,,,
53,44559,44560,14,7,13,000,2016,03,01,6,3,8,1,2,0,0,1,0,0,0,0,"732315,795300000000000","5692435,306499999900000",12.335307736,51.335662454,7,7.0,7,Alt-West,,,,,,,,,,
54,44563,44564,14,7,13,000,2016,02,18,3,2,5,2,2,0,0,1,0,0,0,0,"740530,693800000010000","5686691,785000000100000",12.449149998,51.28069559,3,3.0,3,Südost,,,,,,,,,,
55,44579,44580,14,7,13,000,2016,02,06,4,3,5,3,2,1,1,1,0,0,0,0,"732963,742500000050000","5692857,737300000200000",12.344869448,51.339189423,7,7.0,7,Alt-West,,,,,,,,,,
56,44596,44597,14,7,13,000,2016,02,11,1,3,4,1,0,1,0,1,0,0,0,0,"735967,446899999980000","5693799,864500000100000",12.388540153,51.346407744,0,0.0,0,Mitte,,,,,,,,,,
57,44604,44605,14,7,13,000,2016,03,05,7,3,9,1,2,0,0,1,0,0,0,0,"743200,561200000000000","5695229,184500000400000",12.493181561,51.356188274,2,2.0,2,Ost,,,,,,,,,,
58,44625,44626,14,7,13,000,2016,03,11,6,2,5,3,0,0,1,1,0,0,0,0,"727444,616000000040000","5690083,249800000300000",12.263995579,51.316516157,6,6.0,6,West,,,,,,,,,,
59,44627,44628,14,7,13,000,2016,03,09,3,3,2,6,0,1,0,1,0,0,1,0,"735455,804000000000000","5693495,368200000400000",12.381005251,51.343886626,0,0.0,0,Mitte,,,,,,,,,,
