OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
165655,14,7,13,000,2018,02,12,6,3,6,2,0,1,0,1,0,0,0,1,"733087,783000000050000","5691592,137099999900000",12.345819199000061,51.32777775800008,5,5,5,Südwest
165657,14,7,13,000,2018,01,07,6,2,5,3,1,1,1,0,0,0,0,0,"736685,411100000030000","5693032,069899999500000",12.398320513000044,51.33921746400006,3,3,3,Südost
165658,14,7,13,000,2018,02,07,6,3,6,4,0,0,1,1,0,0,0,0,"735970,611500000000000","5690947,407700000300000",12.386696374000053,51.320802048000076,0,0,0,Mitte
165659,14,7,13,000,2018,01,22,6,2,6,4,2,0,1,1,0,0,0,0,"730113,208100000050000","5693166,944199999800000",12.304215077000038,51.343125850000035,7,7,7,Alt-West
165660,14,7,13,000,2018,02,22,6,3,4,2,2,0,1,0,0,0,0,0,"736220,115100000050000","5692528,270600000400000",12.391318310000031,51.33488872600003,0,0,0,Mitte
165661,14,7,13,000,2018,02,08,6,2,8,1,0,0,1,0,0,0,0,2,"745560,603200000010000","5693199,487700000400000",12.525611285000025,51.33695712300005,2,2,2,Ost
165662,14,7,13,000,2018,02,15,6,3,5,3,0,0,1,0,0,0,0,0,"737426,951800000040000","5693235,540000000000000",12.40908296200007,51.34073470200008,2,2,2,Ost
165676,14,7,13,000,2018,02,18,5,3,5,3,2,1,1,0,0,0,0,0,"737346,179600000030000","5692916,837100000100000",12.407713030000025,51.337907725000036,3,3,3,Südost
165678,14,7,13,000,2018,02,06,5,3,5,3,1,1,0,0,0,0,1,1,"737271,548100000010000","5694405,830500000200000",12.407635734000053,51.35130415800006,1,1,1,Nordost
165683,14,7,13,000,2018,02,15,5,3,5,3,0,1,1,0,0,0,0,0,"737133,858000000010000","5692342,894999999600000",12.404288364000024,51.332844539000064,3,3,3,Südost
