OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
256391,14,7,13,000,2019,01,17,7,3,0,7,2,0,0,0,1,0,0,"732702,488000001760000","5690530,721000000800000",12.33960582800006,51.31840746700004,1,5,5,5,Südwest
256395,14,7,13,000,2019,01,11,7,3,5,3,0,0,1,0,0,0,0,"737997,435721532440000","5695110,573506027500000",12.418512168000063,51.35732642500005,1,1,1,1,Nordost
256396,14,7,13,000,2019,01,18,7,2,7,1,2,0,1,0,0,0,1,"739499,324404209850000","5694002,560050535900000",12.43929759200006,51.34675023600005,1,2,2,2,Ost
256398,14,7,13,000,2019,01,03,7,3,5,3,2,0,1,0,0,0,0,"735100,117290321740000","5693972,057824937600000",12.37622209500006,51.348312742000076,1,0,0,0,Mitte
256399,14,7,13,000,2019,01,07,5,3,3,2,1,0,0,0,0,0,1,"737022,494719656180000","5691457,644719570900000",12.402103923000027,51.32494483900007,0,3,3,3,Südost
256403,14,7,13,000,2019,01,08,3,3,5,3,0,1,1,0,0,0,0,"734323,514319042680000","5692142,564267784400000",12.363886487000059,51.33221101200007,0,0,0,0,Mitte
256407,14,7,13,000,2019,01,07,2,3,3,5,0,1,1,0,0,0,0,"735618,639116745440000","5689834,092849962400000",12.380918763000068,51.31095440300004,2,4,4,4,Süd
256409,14,7,13,000,2019,01,16,5,3,0,2,1,0,0,0,0,0,1,"732464,090915648270000","5691756,817216457800000",12.336990253000067,51.32951124900006,0,5,5,5,Südwest
256422,14,7,13,000,2019,02,06,4,3,5,2,1,1,1,0,0,0,0,"730536,242904396730000","5691507,860799096500000",12.309204975000057,51.328060943000025,0,7,7,7,Alt-West
256431,14,7,13,000,2019,02,18,3,3,5,3,2,1,1,0,0,0,0,"732926,030276432630000","5691018,681202072700000",12.343126876000042,51.32269628100005,0,5,5,5,Südwest
256432,14,7,13,000,2019,02,15,3,3,4,2,0,0,1,0,0,0,0,"735469,826999999580000","5697585,801000000900000",12.383913977000077,51.38059760200008,0,9,9,9,Nord
256433,14,7,13,000,2019,02,09,3,3,5,3,0,0,1,0,0,0,0,"737565,484512390570000","5692606,742965022100000",12.41064893600003,51.33503273900004,0,2,2,2,Ost
256442,14,7,13,000,2019,02,12,2,3,5,3,0,0,1,0,1,0,0,"732021,742082953450000","5691856,825964238500000",12.330717038000046,51.33058960300008,0,5,5,5,Südwest
256443,14,7,13,000,2019,02,09,2,3,5,2,0,1,1,0,0,0,0,"727572,050385457460000","5693315,283632550400000",12.26788526200005,51.34548034800008,0,7,7,7,Alt-West
256445,14,7,13,000,2019,02,16,2,3,3,6,0,0,1,0,1,0,0,"735663,764999999660000","5696057,237000001600000",12.385682454000062,51.36679643800005,0,9,9,9,Nord
256457,14,7,13,000,2019,02,16,1,3,2,6,0,0,1,0,0,0,0,"733472,619797972030000","5694410,140398364500000",12.353180426000051,51.352915962000054,0,0,0,0,Mitte
256458,14,7,13,000,2019,02,21,1,3,1,7,2,1,0,0,1,0,0,"731269,936071309260000","5691528,147959517300000",12.31973090300005,51.327945260000035,0,7,7,7,Alt-West
256468,14,7,13,000,2019,02,18,7,3,0,7,1,1,0,0,0,0,0,"735553,329492609020000","5691996,544306263300000",12.381411945000025,51.33039233200003,0,0,0,0,Mitte
256469,14,7,13,000,2019,02,17,7,3,6,4,1,0,1,1,0,0,0,"731760,928708907220000","5689934,534520451000000",12.325730208000039,51.31343983000005,0,5,5,5,Südwest
256470,14,7,13,000,2019,02,09,7,3,4,2,0,0,1,0,0,0,0,"730727,925919540230000","5693725,634898057200000",12.313388084000053,51.34789205100003,0,7,7,7,Alt-West
256471,14,7,29,260,2019,02,13,7,2,9,7,0,0,1,0,0,0,0,"734820,887264842170000","5687253,687391316500000",12.36779567800005,51.28812108500006,0,4,4,4,Süd
256475,14,7,13,000,2019,02,12,6,3,3,6,0,0,1,0,0,1,0,"734707,245505694300000","5693395,328997761000000",12.370210455000063,51.34329813700003,0,0,0,0,Mitte
256476,14,7,13,000,2019,02,07,6,3,5,3,0,0,1,0,0,0,0,"733982,710000000890000","5695413,229000002100000",12.36115256000005,51.36171039700008,0,9,9,9,Nord
256477,14,7,13,000,2019,02,20,6,3,6,4,2,0,1,1,0,0,0,"733181,338417695840000","5695858,344145171300000",12.349953872000071,51.36603543600006,0,8,8,8,Nordwest
256478,14,7,13,000,2019,02,18,6,3,2,6,2,0,1,0,0,0,0,"735054,610286169690000","5690583,445489464300000",12.373334337000074,51.31791409300007,0,4,4,4,Süd
256480,14,7,13,000,2019,02,07,6,2,6,4,2,0,1,1,0,0,0,"729242,233363940380000","5694934,863063221800000",12.29286955300006,51.35934847400006,0,7,7,7,Alt-West
256494,14,7,13,000,2019,02,13,5,3,3,2,0,1,0,0,0,0,0,"734519,332303833220000","5692540,146985502900000",12.366954091000025,51.33569919000007,0,0,0,0,Mitte
256495,14,7,13,000,2019,02,14,5,3,2,6,0,0,1,0,0,0,0,"729783,675717581990000","5691145,156455729200000",12.29818775800004,51.32510939600007,0,6,6,6,West
256496,14,7,13,000,2019,02,14,5,3,3,6,0,0,0,0,0,0,1,"737186,670709560630000","5692927,910098958800000",12.405434588000048,51.33807366700006,0,3,3,3,Südost
256498,14,7,13,000,2019,02,05,5,3,5,3,2,1,1,0,0,0,0,"733593,375000000000000","5694195,051000000900000",12.354770379000058,51.35093559000006,0,0,0,0,Mitte
256503,14,7,13,000,2019,02,19,4,2,5,3,2,1,0,0,0,0,0,"731709,758219332430000","5693088,546835133800000",12.327047711000034,51.34177370200007,0,7,7,7,Alt-West
256504,14,7,13,000,2019,02,10,5,3,0,4,0,0,1,1,0,0,0,"731971,632171562870000","5690911,301371635900000",12.32938365700005,51.32212225500007,0,5,5,5,Südwest
256505,14,7,13,000,2019,02,18,4,3,2,6,2,0,1,0,0,0,0,"735080,512923006900000","5690102,742397422000000",12.373388544000022,51.31358840300004,0,4,4,4,Süd
256506,14,7,13,000,2019,02,18,4,2,6,4,1,0,1,1,0,0,0,"732024,143577487210000","5690710,914101932200000",12.330005560000075,51.320302007000066,0,5,5,5,Südwest
256511,14,7,13,000,2019,02,16,3,3,3,7,0,0,1,0,0,0,0,"739798,488514121620000","5693958,612131737200000",12.443555772000025,51.34622966500007,0,2,2,2,Ost
256512,14,7,13,000,2019,02,19,3,1,6,4,2,0,1,1,0,0,0,"734328,173000000420000","5693360,498000001500000",12.364754439000023,51.34314183200007,0,0,0,0,Mitte
256516,14,7,13,000,2019,02,14,2,3,6,4,0,1,0,1,0,0,0,"736055,035125967120000","5691540,678615642700000",12.388298590000034,51.32609239100003,0,0,0,0,Mitte
256522,14,7,13,000,2019,02,00,1,3,0,1,2,1,0,0,0,0,0,"737577,226856031460000","5693743,904611358400000",12.41157572800006,51.34523502700006,0,2,2,2,Ost
256523,14,7,13,000,2019,02,09,1,3,5,2,0,1,1,0,0,0,0,"736794,383000002240000","5693773,367000000600000",12.400375085000064,51.34582607400006,1,2,2,2,Ost
256529,14,7,13,000,2019,02,12,7,3,5,2,0,0,1,0,0,0,0,"737190,937363443900000","5692060,915064260400000",12.404918547000022,51.33028966000006,0,3,3,3,Südost
256530,14,7,13,000,2019,02,13,7,3,3,6,0,1,1,0,0,0,0,"734505,288648708720000","5695450,898112218800000",12.36867029800004,51.361833096000055,0,9,9,9,Nord
256531,14,7,13,000,2019,02,14,7,3,5,3,0,0,1,0,0,0,0,"732094,088000000450000","5696572,573000000800000",12.334828799000036,51.372892069000045,0,8,8,8,Nordwest
256532,14,7,13,000,2019,02,17,7,3,6,4,2,0,0,1,0,0,1,"733612,591412352400000","5694050,113408213500000",12.354950727000073,51.349626656000055,0,0,0,0,Mitte
256540,14,7,13,000,2019,02,09,6,3,1,1,0,0,1,0,1,0,0,"734814,275822153310000","5696152,581299418600000",12.37356391700007,51.36800403600006,1,9,9,9,Nord
256541,14,7,13,000,2019,02,20,6,3,5,2,2,1,1,0,0,0,0,"734579,041494761590000","5691402,904484503000000",12.367061126000067,51.32546616800005,0,0,0,0,Mitte
256543,14,7,13,000,2019,02,12,6,3,1,5,0,1,1,0,0,0,0,"731981,490513445810000","5693070,228842964400000",12.330930422000051,51.341498468000054,0,7,7,7,Alt-West
256551,14,7,13,000,2019,02,19,5,3,4,2,2,1,0,0,0,0,0,"737323,677594861950000","5689346,120832901400000",12.405013791000044,51.30586600600003,1,4,4,4,Süd
256552,14,7,13,000,2019,02,08,5,3,2,6,0,0,1,0,0,0,0,"735676,885851719420000","5696243,090018691500000",12.385993777000067,51.36845925200004,0,9,9,9,Nord
256553,14,7,13,000,2019,02,16,5,2,6,4,0,1,0,1,0,0,0,"736981,852985189300000","5692329,265852550000000",12.402101250000044,51.332785554000054,0,3,3,3,Südost
256556,14,7,13,000,2019,02,15,5,3,6,4,0,0,1,1,0,0,0,"731760,841778102330000","5689791,148720927500000",12.325635805000047,51.31215271100007,0,5,5,5,Südwest
256562,14,7,13,000,2019,02,15,4,3,5,3,0,1,1,0,0,0,0,"735105,932613565590000","5694831,550255253900000",12.37687320200007,51.35602542500004,0,0,0,0,Mitte
256563,14,7,13,000,2019,02,16,4,3,6,4,0,0,1,1,0,0,0,"737090,672149536200000","5691710,077980626400000",12.40324855800003,51.327182304000075,0,3,3,3,Südost
256564,14,7,13,000,2019,02,08,4,3,5,3,0,0,1,0,0,0,0,"735088,571198185910000","5689716,237685119700000",12.373249263000048,51.31011564600004,0,4,4,4,Süd
256565,14,7,13,000,2019,02,16,4,3,1,7,0,0,1,0,0,0,0,"737319,358576356430000","5697137,436153911100000",12.410143637000033,51.37580311500005,0,1,1,1,Nordost
256567,14,7,13,000,2019,02,18,4,2,5,3,2,1,1,0,0,0,0,"735640,207727350290000","5693583,364042956400000",12.383706455000038,51.34460010600003,0,0,0,0,Mitte
256574,14,7,13,000,2019,02,21,3,3,2,5,2,0,1,0,0,0,0,"737298,656747949310000","5692986,055120715900000",12.407078125000055,51.33854886300003,0,2,2,2,Ost
256575,14,7,13,000,2019,02,10,3,3,2,2,0,0,1,0,0,0,1,"729904,111349514690000","5693527,145123038400000",12.301450570000043,51.34644397200003,0,7,7,7,Alt-West
256582,14,7,13,000,2019,02,15,2,3,6,4,0,0,1,1,0,0,0,"732069,001735202970000","5690768,126959737400000",12.330685434000031,51.32079730300006,0,5,5,5,Südwest
256583,14,7,13,000,2019,02,13,2,3,2,6,0,0,1,0,0,0,0,"732909,741682269610000","5690573,999311616600000",12.342603044000043,51.31871117700007,0,5,5,5,Südwest
256585,14,7,13,000,2019,02,09,2,3,6,2,0,0,1,1,0,0,0,"736691,880665168170000","5689812,551641661700000",12.396275565000053,51.31031579800003,2,4,4,4,Süd
256586,14,7,13,000,2019,02,11,2,3,5,3,0,0,1,0,0,1,0,"729395,997999998740000","5700949,383000003200000",12.298958517000074,51.41327879500005,0,8,8,8,Nordwest
256587,14,7,13,000,2019,02,05,2,3,6,4,2,0,1,1,0,0,0,"735104,409949135040000","5697083,586696352800000",12.378340173000026,51.37624100700003,1,9,9,9,Nord
256588,14,7,13,000,2019,02,17,2,2,5,2,2,1,1,0,0,0,0,"733227,759681896310000","5693908,570394042900000",12.349341504000051,51.34851410600004,0,0,0,0,Mitte
256589,14,7,13,000,2019,02,22,2,3,6,4,2,0,0,1,0,0,1,"737197,166308441200000","5693446,449572812800000",12.405930333000072,51.342723739000064,0,2,2,2,Ost
256590,14,7,13,000,2019,02,15,2,3,6,2,0,0,1,1,0,0,0,"732041,186999999920000","5690700,188000001000000",12.330242744000032,51.32019877100004,0,5,5,5,Südwest
256594,14,7,13,000,2019,02,16,5,3,5,3,0,1,1,0,0,0,0,"729550,724966436620000","5694223,181751586500000",12.296833783000068,51.352835138000046,0,7,7,7,Alt-West
256603,14,7,13,000,2019,02,04,7,3,8,1,2,0,1,0,0,0,0,"735096,947188628840000","5698335,568532880400000",12.379061533000026,51.38748221700007,0,9,9,9,Nord
256604,14,7,13,000,2019,02,02,7,2,5,3,2,0,1,0,0,0,0,"735404,574947037730000","5691393,274078734200000",12.378882089000058,51.32503875000003,1,0,0,0,Mitte
256613,14,7,13,000,2019,02,07,6,3,2,2,1,0,1,0,0,0,1,"738161,640993957410000","5689966,791636752000000",12.417427880000048,51.31108724900008,1,3,3,3,Südost
256614,14,7,13,000,2019,02,22,6,3,9,1,2,0,0,0,1,0,0,"737345,349347448910000","5695360,669973816700000",12.409330495000063,51.35984400800004,0,1,1,1,Nordost
